coluna,valor
categoria_eixo,Categoria 1
categoria_eixo,Categoria 2
categoria_eixo,Categoria 3
categoria_eixo,Categoria 4
categoria_eixo,Categoria 5
categoria_eixo,Categoria 6
categoria_eixo,Categoria 7
categoria_eixo,Categoria 8
categoria_eixo,Categoria 9
categoria_eixo,Outros
categoria_eixo,Categoria 10
categoria_eixo,Categoria 11
categoria_eixo,Categoria Especial
categoria_eixo,Categoria Esp. 07
categoria_eixo,Categoria Esp. 08
categoria_eixo,Categoria Esp. 09
categoria_eixo,Categoria Esp. 10
categoria_eixo,Categoria 12
categoria_eixo,Moto
categoria_eixo,Veículo Comercial 10 eixos
volume_total,"277638,00"
volume_total,"24788,00"
volume_total,"703,00"
volume_total,"43233,00"
volume_total,"61,00"
volume_total,"7635,00"
volume_total,"32268,00"
volume_total,"14133,00"
volume_total,"8873,00"
volume_total,"10692,00"
volume_total,"201899,00"
volume_total,"22473,00"
volume_total,"612,00"
volume_total,"41586,00"
volume_total,"50,00"
volume_total,"6882,00"
volume_total,"30492,00"
volume_total,"13330,00"
volume_total,"6981,00"
volume_total,"11115,00"
tipo_de_veiculo,Passeio
tipo_de_veiculo,Comercial
tipo_de_veiculo,Moto
tipo_de_veiculo,COMERCIAL
tipo_de_veiculo,PASSEIO
tipo_de_veiculo,MOTO
tipo_de_veiculo,Veículo Pequeno
