concessionaria,mes_ano,sentido,praca,tipo_cobranca,categoria_eixo,tipo_de_veiculo,volume_total,arquivo_origem
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Moto,Moto,"109,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Moto,Moto,"99,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Moto,Moto,"125,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 3 eixos,Comercial,"231,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 3 eixos,Comercial,"471,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 3 eixos,Comercial,"491,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 4 eixos,Comercial,"390,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 5 eixos,Comercial,"183,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 5 eixos,Comercial,"167,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 5 eixos,Comercial,"156,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 6 eixos,Comercial,"202,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 6 eixos,Comercial,"220,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 6 eixos,Comercial,"234,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 6 eixos,Comercial,"157,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 7 eixos,Comercial,"116,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 8 eixos,Comercial,"3,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 8 eixos,Comercial,"3,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 8 eixos,Comercial,"3,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 8 eixos,Comercial,"2,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 8 eixos,Comercial,"3,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 8 eixos,Comercial,"4,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 8 eixos,Comercial,"4,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 8 eixos,Comercial,"3,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 8 eixos,Comercial,"9,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 8 eixos,Comercial,"3,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 8 eixos,Comercial,"8,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 8 eixos,Comercial,"4,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 8 eixos,Comercial,"3,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 8 eixos,Comercial,"4,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 8 eixos,Comercial,"4,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 8 eixos,Comercial,"8,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 8 eixos,Comercial,"14,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 9 eixos,Comercial,"66,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 9 eixos,Comercial,"85,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 9 eixos,Comercial,"76,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 9 eixos,Comercial,"66,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 9 eixos,Comercial,"73,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 9 eixos,Comercial,"66,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial 9 eixos,Comercial,"62,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial Acima 10 eixos,Comercial,"1,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial Acima 10 eixos,Comercial,"1,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial Acima 10 eixos,Comercial,"1,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial Acima 10 eixos,Comercial,"1,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial Acima 10 eixos,Comercial,"1,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial Acima 10 eixos,Comercial,"1,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial Acima 10 eixos,Comercial,"1,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial Acima 10 eixos,Comercial,"2,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial Acima 10 eixos,Comercial,"1,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
CONCEBRA,01/02/2021,Crescente,P1 ALEXÂNIA,N/I,Veículo Comercial Acima 10 eixos,Comercial,"1,00",Volume_de_Tráfego_por_Praça_-_Concessionárias_2021.csv
