concessionaria,mes_ano,sentido,praca,tipo_cobranca,categoria_eixo,tipo_de_veiculo,volume_total,arquivo_origem,arquivo_original,linha_hash,mes_ano_raw
AUTOPISTA FERNÃO DIAS,,CRESCENTE,1 SUL (MAIRIPORÃ),AUTOMÁTICA,10.0,COMERCIAL,752.0,volume_de_trafego_por_praca_-_concessionarias_2024_mensal_consolidado.csv,Volume de Tráfego por Praça - Concessionárias 2024 Mensal consolidado,"AUTOPISTA FERNÃO DIAS|01/2024|Crescente|1 Sul (Mairiporã)|Automática|10|Comercial|752,00",01/2024
AUTOPISTA FERNÃO DIAS,,CRESCENTE,1 SUL (MAIRIPORÃ),AUTOMÁTICA,11.0,COMERCIAL,1105.0,volume_de_trafego_por_praca_-_concessionarias_2024_mensal_consolidado.csv,Volume de Tráfego por Praça - Concessionárias 2024 Mensal consolidado,"AUTOPISTA FERNÃO DIAS|01/2024|Crescente|1 Sul (Mairiporã)|Automática|11|Comercial|1105,00",01/2024
AUTOPISTA FERNÃO DIAS,,CRESCENTE,1 SUL (MAIRIPORÃ),AUTOMÁTICA,12.0,COMERCIAL,311.0,volume_de_trafego_por_praca_-_concessionarias_2024_mensal_consolidado.csv,Volume de Tráfego por Praça - Concessionárias 2024 Mensal consolidado,"AUTOPISTA FERNÃO DIAS|01/2024|Crescente|1 Sul (Mairiporã)|Automática|12|Comercial|311,00",01/2024
AUTOPISTA FERNÃO DIAS,,CRESCENTE,1 SUL (MAIRIPORÃ),AUTOMÁTICA,13.0,COMERCIAL,114.0,volume_de_trafego_por_praca_-_concessionarias_2024_mensal_consolidado.csv,Volume de Tráfego por Praça - Concessionárias 2024 Mensal consolidado,"AUTOPISTA FERNÃO DIAS|01/2024|Crescente|1 Sul (Mairiporã)|Automática|13|Comercial|114,00",01/2024
AUTOPISTA FERNÃO DIAS,,CRESCENTE,1 SUL (MAIRIPORÃ),AUTOMÁTICA,14.0,COMERCIAL,22.0,volume_de_trafego_por_praca_-_concessionarias_2024_mensal_consolidado.csv,Volume de Tráfego por Praça - Concessionárias 2024 Mensal consolidado,"AUTOPISTA FERNÃO DIAS|01/2024|Crescente|1 Sul (Mairiporã)|Automática|14|Comercial|22,00",01/2024
AUTOPISTA FERNÃO DIAS,,CRESCENTE,1 SUL (MAIRIPORÃ),AUTOMÁTICA,15.0,COMERCIAL,13.0,volume_de_trafego_por_praca_-_concessionarias_2024_mensal_consolidado.csv,Volume de Tráfego por Praça - Concessionárias 2024 Mensal consolidado,"AUTOPISTA FERNÃO DIAS|01/2024|Crescente|1 Sul (Mairiporã)|Automática|15|Comercial|13,00",01/2024
AUTOPISTA FERNÃO DIAS,,CRESCENTE,1 SUL (MAIRIPORÃ),AUTOMÁTICA,16.0,COMERCIAL,5.0,volume_de_trafego_por_praca_-_concessionarias_2024_mensal_consolidado.csv,Volume de Tráfego por Praça - Concessionárias 2024 Mensal consolidado,"AUTOPISTA FERNÃO DIAS|01/2024|Crescente|1 Sul (Mairiporã)|Automática|16|Comercial|5,00",01/2024
AUTOPISTA FERNÃO DIAS,,CRESCENTE,1 SUL (MAIRIPORÃ),AUTOMÁTICA,18.0,COMERCIAL,1.0,volume_de_trafego_por_praca_-_concessionarias_2024_mensal_consolidado.csv,Volume de Tráfego por Praça - Concessionárias 2024 Mensal consolidado,"AUTOPISTA FERNÃO DIAS|01/2024|Crescente|1 Sul (Mairiporã)|Automática|18|Comercial|1,00",01/2024
AUTOPISTA FERNÃO DIAS,,CRESCENTE,1 SUL (MAIRIPORÃ),AUTOMÁTICA,2.0,COMERCIAL,32366.0,volume_de_trafego_por_praca_-_concessionarias_2024_mensal_consolidado.csv,Volume de Tráfego por Praça - Concessionárias 2024 Mensal consolidado,"AUTOPISTA FERNÃO DIAS|01/2024|Crescente|1 Sul (Mairiporã)|Automática|2|Comercial|32366,00",01/2024
AUTOPISTA FERNÃO DIAS,,CRESCENTE,1 SUL (MAIRIPORÃ),AUTOMÁTICA,2.0,PASSEIO,494274.0,volume_de_trafego_por_praca_-_concessionarias_2024_mensal_consolidado.csv,Volume de Tráfego por Praça - Concessionárias 2024 Mensal consolidado,"AUTOPISTA FERNÃO DIAS|01/2024|Crescente|1 Sul (Mairiporã)|Automática|2|Passeio|494274,00",01/2024
